,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
4215,38779,Dave Chappelle's Block Party,3000000,11718595,12051924
4216,10/25/1985,Krush Groove,3000000,11052713,11052713
4217,21916,Elmer Gantry,3000000,10400000,10400000
4218,40030,Next Day Air,3000000,10027047,10172519
4219,22282,Judgment at Nuremberg,3000000,10000000,10000000
4220,36499,Trippin',3000000,9017070,9017070
4221,17533,Red River,3000000,9012000,9012000
4222,37111,The Deep End,3000000,8823109,9981635
4223,5/24/2013,Before Midnight,3000000,8110621,23376973
4224,11/20/1987,Teen Wolf Too,3000000,7888000,7888000
4225,38902,Phat Girlz,3000000,7061128,7301115
4226,32362,Phantasm II,3000000,7000000,7000000
4227,37996,Woman Thou Art Loosed,3000000,6879730,6879730
4228,10/18/2002,Real Women Have Curves,3000000,5853194,7777790
4229,8/28/1981,Gallipoli,3000000,5732587,5732587
4230,4/28/2006,Water,3000000,5529144,11322573
4231,4/14/2000,East is East,3000000,4170647,30438635
4232,36534,Whipped,3000000,4142507,4142507
4233,2/28/1997,Kama Sutra,3000000,4109095,4109095
4234,5/17/2013,Frances Ha,3000000,4067398,11267511
4235,4/30/2010,Please Give,3000000,4033574,4570178
4236,6/30/1971,Willy Wonka & the Chocolate Factory,3000000,4000000,4000000
4237,9/24/1993,Warlock: The Armageddon,3000000,3902679,3902679
4238,4/18/1997,8 Heads in a Duffel Bag,3000000,3602884,4002884
4239,9/13/1978,Days of Heaven,3000000,3446749,3660880
4240,5/24/2002,Thirteen Conversations About One Thing,3000000,3287435,3705923
4241,4/22/2016,Compadres,3000000,3127773,7445044
4242,2/19/1999,Jawbreaker,3000000,3076820,3076820
4243,35316,Basquiat,3000000,2962051,2962051
4244,2/24/2006,Tsotsi,3000000,2912606,11537539
4245,40425,Letters to God,3000000,2848587,3237452
4246,10/16/1998,Happiness,3000000,2746453,5746453
4247,37715,DysFunkTional Family,3000000,2255000,2255000
4248,9/19/2014,Tusk,3000000,1821983,1821983
4249,41064,Damsels in Distress,3000000,1007535,1324299
4250,3/25/2005,Oldboy,3000000,707391,6239723
4251,40699,Hobo with a Shotgun,3000000,703372,834953
4252,41099,Bachelorette,3000000,446770,12577401
4253,1/15/2010,Fish Tank,3000000,374675,5922292
4254,40795,Creature,3000000,331000,331000
4255,8/23/1996,Freeway,3000000,295493,295493
4256,38878,Love's Abiding Joy,3000000,252726,252726
4257,34305,Braindead,3000000,242623,242623
4258,40188,Chain Letter,3000000,205842,1022453
4259,40942,Tim and Eric's Billion Dollar Movie,3000000,201436,223652
4260,39336,Holly,3000000,163069,163069
4261,3/26/2010,The Eclipse,3000000,133411,133411
4262,3/21/2008,The Grand,3000000,115879,115879
4263,3/17/2006,Sommersturm,3000000,95204,95204
4264,8/15/2014,Fort McCoy,3000000,78948,78948
4265,36258,The Gambler,3000000,51773,101773
4266,10/13/2000,Just Looking,3000000,39852,39852
4267,42103,Before We Go,3000000,37151,364098
4268,1/13/2012,The Divide,3000000,18000,156362
4269,40795,Tanner Hall,3000000,5073,5073
4270,9/30/2005,My Big Fat Independent Movie,3000000,4655,4655
4271,12/31/2014,Demonic,3000000,0,4668109
4272,4/15/2008,à L'Intérieur,3000000,0,895932
4273,6/27/2014,They Came Together,3000000,0,82780
4274,5/21/2013,Open Road,3000000,0,47469
4275,7/28/1951,Alice in Wonderland,3000000,0,0
4276,40188,Barry Munday,3000000,0,0
4277,12/31/2009,The Deported,3000000,0,0
4278,12/31/2009,Chicago Overcoat,3000000,0,0
4279,9/13/2011,Never Back Down 2: The Beatdown,3000000,0,0
4280,12/31/2015,AWOL-72,3000000,0,0
4281,1/15/2013,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,3000000,0,0
4282,42157,Enter the Dangerous Mind,3000000,0,0
4283,3/17/2015,Something Wicked,3000000,0,0
4284,41858,Point Blank,3000000,0,0
4285,10/27/2014,Iguana,3000000,0,0
